Age,Gender,Education,Department,Job_Role,business_travel,daily_rate,HourlyRate,DistanceFromHome,performance_rating,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,Attrition
51,Male,3,Research & Development,Manufacturing Director,Travel Rarely,1302,84,2,3,4,1,1,2,0
41,Male,4,Sales,Manager,Travel Rarely,334,88,2,3,22,10,0,4,0
18,Female,3,Sales,Sales Representative,Travel Rarely,812,69,10,3,0,0,0,0,0
28,Male,2,Research & Development,Healthcare Representative,Travel Rarely,1476,68,16,3,8,3,0,7,0
31,Male,3,Sales,Sales Executive,Travel Rarely,218,100,7,3,8,7,7,7,0
39,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1132,48,1,3,18,10,3,7,0
36,Female,4,Research & Development,Laboratory Technician,Non-Travel,1105,47,24,3,9,8,0,8,0
32,Male,3,Sales,Sales Executive,Travel Rarely,906,91,7,3,13,8,4,8,0
38,Female,2,Research & Development,Research Director,Travel Rarely,849,81,25,3,10,8,0,1,0
58,Male,4,Research & Development,Healthcare Representative,Non-Travel,390,32,1,3,5,3,1,2,0
31,Male,4,Research & Development,Research Scientist,Travel Rarely,691,86,5,3,5,2,0,3,0
31,Male,3,Human Resources,Human Resources,Travel Rarely,106,62,2,3,2,2,1,0,0
45,Male,3,Research & Development,Laboratory Technician,Travel Frequently,1249,97,7,3,24,9,9,11,0
31,Male,4,Research & Development,Research Scientist,Travel Rarely,192,32,2,3,2,2,2,2,0
33,Female,4,Research & Development,Manager,Travel Frequently,553,74,5,3,10,6,8,8,0
39,Male,1,Research & Development,Manager,Travel Rarely,117,99,10,3,21,9,11,10,0
43,Female,4,Research & Development,Laboratory Technician,Travel Frequently,185,33,10,3,8,7,1,7,0
49,Female,2,Research & Development,Healthcare Representative,Travel Rarely,1091,90,1,3,7,1,0,7,0
52,Male,4,Research & Development,Research Scientist,Travel Rarely,723,85,8,3,8,2,7,7,1
27,Female,3,Research & Development,Research Scientist,Travel Rarely,1220,85,5,3,4,3,1,2,0
32,Female,2,Sales,Sales Executive,Travel Rarely,588,65,8,3,13,12,11,9,0
27,Male,3,Sales,Sales Executive,Travel Rarely,1377,74,2,3,5,4,0,4,0
31,Male,3,Sales,Sales Executive,Travel Rarely,691,73,7,3,7,7,1,7,0
32,Female,4,Research & Development,Research Scientist,Travel Rarely,1018,74,2,3,7,7,0,7,0
28,Male,4,Research & Development,Research Scientist,Travel Rarely,1157,84,2,3,3,2,2,2,1
30,Female,2,Research & Development,Research Scientist,Travel Rarely,1275,64,28,3,10,8,1,9,0
31,Female,2,Research & Development,Manufacturing Director,Travel Frequently,798,48,7,4,10,9,8,9,0
39,Male,2,Research & Development,Manager,Travel Frequently,672,54,7,3,21,9,13,3,0
39,Female,2,Sales,Sales Executive,Travel Rarely,1162,41,3,3,1,0,0,0,1
33,Male,3,Sales,Sales Executive,Travel Frequently,508,46,10,3,7,7,0,1,0
47,Male,5,Research & Development,Research Director,Travel Rarely,1482,42,5,3,3,2,1,1,0
43,Female,4,Research & Development,Laboratory Technician,Travel Frequently,559,82,10,3,9,7,0,0,0
27,Male,1,Sales,Sales Executive,Non-Travel,210,73,1,3,5,4,1,4,0
54,Female,4,Research & Development,Research Scientist,Travel Frequently,928,31,20,3,4,3,0,3,0
43,Female,3,Research & Development,Healthcare Representative,Travel Rarely,1001,43,7,3,1,0,0,0,0
45,Male,4,Research & Development,Research Scientist,Travel Rarely,549,75,8,3,10,9,9,8,0
40,Male,2,Sales,Sales Executive,Travel Rarely,1124,57,1,4,4,3,0,2,0
29,Male,4,Research & Development,Laboratory Technician,Travel Rarely,318,77,8,3,7,7,0,7,1
29,Male,5,Research & Development,Laboratory Technician,Travel Rarely,738,30,9,3,3,2,2,2,0
30,Female,3,Sales,Sales Executive,Travel Rarely,570,30,5,3,10,9,1,2,0
27,Female,4,Sales,Sales Executive,Travel Rarely,1130,56,8,3,8,7,0,7,0
37,Male,2,Research & Development,Manufacturing Director,Travel Rarely,1192,61,5,3,6,2,0,4,0
38,Male,2,Research & Development,Research Director,Travel Rarely,343,92,15,3,11,10,2,9,0
31,Female,4,Research & Development,Manufacturing Director,Travel Rarely,1232,39,7,3,11,9,4,10,0
29,Female,1,Sales,Sales Executive,Travel Rarely,144,39,10,3,7,7,1,7,0
35,Male,4,Research & Development,Manufacturing Director,Travel Rarely,1296,62,5,3,16,6,0,13,0
23,Male,1,Research & Development,Research Scientist,Travel Rarely,1309,83,26,3,4,2,0,2,0
41,Male,3,Research & Development,Manufacturing Director,Travel Rarely,483,95,6,3,5,4,1,2,0
47,Male,1,Sales,Sales Representative,Travel Frequently,1309,99,4,3,0,0,0,0,0
42,Female,5,Research & Development,Research Director,Travel Rarely,810,44,23,3,1,0,0,0,0
29,Male,3,Sales,Sales Executive,Non-Travel,746,61,2,3,4,3,0,2,0
42,Male,1,Human Resources,Human Resources,Travel Rarely,544,52,2,3,3,2,1,0,0
32,Female,3,Research & Development,Laboratory Technician,Travel Rarely,1062,75,2,3,8,0,0,7,0
48,Female,1,Sales,Manager,Travel Rarely,530,91,29,4,0,0,0,0,0
37,Male,3,Research & Development,Research Scientist,Travel Rarely,1319,51,6,3,7,7,6,7,0
30,Female,2,Sales,Sales Executive,Non-Travel,641,85,25,3,2,2,2,2,0
26,Male,3,Sales,Sales Executive,Travel Rarely,933,57,1,3,8,7,7,7,0
42,Male,4,Research & Development,Healthcare Representative,Travel Rarely,1332,98,2,4,1,0,0,0,0
21,Female,1,Sales,Sales Representative,Travel Frequently,756,99,1,3,3,2,1,2,1
36,Female,5,Sales,Sales Executive,Non-Travel,845,45,1,3,1,0,0,0,0
36,Male,4,Sales,Sales Executive,Travel Frequently,541,48,3,3,13,9,1,12,0
57,Male,4,Research & Development,Healthcare Representative,Travel Rarely,593,88,1,3,3,2,1,2,0
40,Female,4,Research & Development,Laboratory Technician,Travel Rarely,1171,46,10,3,7,7,1,7,0
21,Male,2,Sales,Sales Representative,Non-Travel,895,39,9,4,3,2,2,2,0
33,Female,3,Sales,Sales Representative,Travel Rarely,350,34,5,3,1,0,0,0,1
37,Female,3,Research & Development,Laboratory Technician,Travel Rarely,921,98,10,4,5,4,0,3,0
46,Female,4,Research & Development,Manufacturing Director,Non-Travel,1144,30,7,3,1,0,0,0,0
41,Male,3,Sales,Sales Executive,Travel Frequently,143,56,4,3,8,7,7,7,1
50,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1046,100,10,3,4,3,1,3,0
40,Male,2,Sales,Sales Executive,Travel Rarely,575,68,22,3,6,4,1,0,1
31,Male,4,Research & Development,Research Scientist,Travel Rarely,408,42,9,3,2,2,2,2,0
21,Female,3,Sales,Sales Representative,Travel Rarely,156,90,12,3,1,0,0,0,1
29,Male,3,Research & Development,Research Scientist,Travel Rarely,1283,54,23,3,3,2,1,2,0
35,Male,4,Research & Development,Healthcare Representative,Travel Rarely,755,97,9,3,1,1,0,0,0
27,Male,2,Research & Development,Laboratory Technician,Travel Rarely,1469,82,1,3,5,2,0,4,0
28,Male,4,Sales,Sales Executive,Travel Rarely,304,92,9,3,7,5,0,7,0
49,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1261,31,7,4,5,2,0,0,0
51,Female,2,Sales,Sales Executive,Travel Rarely,1178,87,14,3,7,7,0,7,0
36,Female,3,Research & Development,Research Scientist,Travel Rarely,329,96,2,3,2,2,2,2,0
34,Male,3,Sales,Sales Executive,Non-Travel,1362,67,19,3,5,2,0,4,1
55,Female,3,Research & Development,Manager,Travel Rarely,1311,97,2,3,5,4,1,2,0
24,Female,4,Sales,Sales Executive,Travel Rarely,1371,77,10,3,5,2,0,3,0
30,Male,1,Sales,Sales Representative,Travel Rarely,202,72,2,3,1,0,0,0,0
26,Male,1,Research & Development,Research Scientist,Travel Frequently,575,73,3,4,6,4,0,4,1
22,Female,3,Research & Development,Research Scientist,Travel Rarely,253,43,11,3,2,1,1,2,0
36,Male,2,Sales,Sales Executive,Travel Rarely,164,61,2,3,10,9,9,0,0
30,Male,3,Research & Development,Research Scientist,Travel Frequently,464,40,4,4,1,0,0,0,1
37,Female,3,Research & Development,Laboratory Technician,Travel Rarely,1107,95,14,3,18,7,12,17,0
40,Female,2,Sales,Sales Executive,Travel Rarely,759,46,2,3,5,4,1,3,0
42,Female,4,Research & Development,Laboratory Technician,Travel Rarely,201,95,1,3,5,2,1,2,0
37,Male,4,Research & Development,Manufacturing Director,Travel Rarely,1305,49,10,3,1,0,0,1,0
43,Male,3,Research & Development,Research Director,Travel Rarely,982,59,12,3,25,10,3,9,0
40,Female,3,Research & Development,Laboratory Technician,Travel Rarely,555,78,2,4,1,0,0,0,0
54,Male,2,Research & Development,Research Director,Travel Rarely,821,86,5,3,4,2,1,2,0
34,Female,4,Sales,Sales Executive,Non-Travel,1381,72,4,3,3,2,1,2,0
31,Female,2,Research & Development,Manufacturing Director,Travel Rarely,480,31,7,3,13,10,3,12,0
43,Male,3,Research & Development,Laboratory Technician,Travel Frequently,313,61,21,4,3,2,1,2,0
43,Female,4,Research & Development,Healthcare Representative,Travel Rarely,1473,74,8,3,5,2,0,2,0
25,Female,2,Sales,Sales Executive,Travel Rarely,891,99,4,3,5,4,1,3,0
37,Female,5,Research & Development,Research Scientist,Non-Travel,1063,72,25,3,13,11,10,7,0
31,Male,2,Research & Development,Laboratory Technician,Travel Rarely,329,98,1,3,4,2,3,2,0
39,Male,1,Research & Development,Manager,Travel Frequently,1218,52,1,3,21,8,1,6,0
56,Female,3,Sales,Sales Executive,Travel Frequently,906,86,6,3,7,7,7,7,0
30,Female,3,Sales,Sales Executive,Travel Rarely,1082,83,12,3,5,4,4,4,0
41,Male,3,Sales,Sales Executive,Travel Rarely,645,49,1,3,10,7,0,7,0
28,Male,2,Research & Development,Laboratory Technician,Travel Rarely,1300,79,17,3,10,0,1,8,0
25,Male,3,Research & Development,Laboratory Technician,Travel Rarely,688,91,3,3,2,2,0,2,1
52,Male,3,Research & Development,Manufacturing Director,Travel Rarely,319,39,3,3,5,4,0,4,0
45,Male,2,Research & Development,Research Scientist,Travel Rarely,192,69,10,4,2,2,0,2,0
52,Female,2,Research & Development,Manager,Travel Rarely,1490,30,4,3,5,2,1,4,0
42,Female,2,Research & Development,Research Scientist,Travel Frequently,532,92,29,3,5,4,0,2,0
30,Female,3,Research & Development,Manufacturing Director,Travel Rarely,317,43,2,4,5,4,0,2,0
60,Female,3,Research & Development,Manager,Travel Rarely,422,41,7,3,29,8,11,10,0
46,Female,3,Research & Development,Manufacturing Director,Travel Rarely,1485,87,18,3,10,7,0,8,0
42,Female,4,Research & Development,Healthcare Representative,Travel Frequently,1368,88,28,3,6,5,0,4,0
24,Female,1,Sales,Sales Representative,Travel Rarely,1448,62,1,3,5,3,1,4,1
34,Female,2,Sales,Sales Representative,Travel Frequently,296,33,6,3,2,2,1,0,1
38,Male,2,Research & Development,Laboratory Technician,Travel Frequently,1490,42,2,4,1,0,0,0,0
40,Female,4,Sales,Manager,Travel Rarely,1398,79,2,3,20,15,1,12,0
26,Female,3,Research & Development,Research Scientist,Travel Rarely,1349,90,23,4,3,2,0,2,0
30,Male,3,Research & Development,Laboratory Technician,Non-Travel,1400,53,3,3,5,3,1,4,0
29,Male,4,Research & Development,Research Director,Travel Rarely,986,93,3,3,10,2,0,7,0
29,Female,5,Research & Development,Research Scientist,Travel Rarely,408,71,25,3,2,2,1,1,1
19,Male,2,Human Resources,Human Resources,Travel Rarely,489,52,2,3,1,0,0,0,1
30,Female,4,Sales,Sales Executive,Non-Travel,1398,69,22,3,9,8,7,8,0
57,Male,3,Sales,Manager,Travel Rarely,210,56,29,3,1,0,0,0,0
50,Male,4,Research & Development,Manager,Travel Rarely,1099,88,29,3,27,10,15,7,0
30,Female,3,Research & Development,Laboratory Technician,Non-Travel,1116,49,2,3,11,7,6,7,0
60,Female,3,Sales,Sales Executive,Travel Frequently,1499,80,28,3,18,13,13,11,0
47,Female,2,Research & Development,Manufacturing Director,Travel Rarely,983,65,2,3,5,0,0,4,0
46,Male,3,Research & Development,Research Director,Travel Rarely,1009,51,2,3,3,2,0,1,0
35,Male,3,Research & Development,Laboratory Technician,Travel Rarely,144,46,22,3,5,4,4,3,0
54,Female,4,Research & Development,Laboratory Technician,Travel Rarely,548,42,8,3,1,0,0,0,0
34,Male,4,Research & Development,Research Scientist,Travel Rarely,1303,62,2,3,7,3,5,7,0
46,Female,3,Sales,Sales Executive,Travel Rarely,1125,94,10,3,3,2,1,2,0
31,Male,1,Research & Development,Manufacturing Director,Travel Rarely,1274,33,9,4,13,8,0,8,0
33,Male,1,Research & Development,Manager,Travel Rarely,1277,56,15,3,7,6,7,7,1
33,Male,1,Research & Development,Laboratory Technician,Travel Rarely,587,38,10,3,4,3,1,3,1
30,Male,1,Sales,Sales Representative,Travel Rarely,413,57,7,3,3,2,1,2,0
35,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1276,72,16,3,8,7,0,0,0
31,Male,3,Research & Development,Healthcare Representative,Travel Frequently,534,66,20,3,1,0,0,0,1
34,Female,3,Human Resources,Human Resources,Travel Frequently,988,43,23,3,3,2,0,2,1
42,Male,2,Research & Development,Laboratory Technician,Travel Frequently,1474,97,5,3,2,2,2,0,0
36,Male,4,Sales,Sales Executive,Non-Travel,635,32,10,3,10,3,9,7,0
22,Male,1,Research & Development,Laboratory Technician,Travel Frequently,1368,99,4,3,2,2,1,2,1
48,Female,5,Sales,Sales Executive,Travel Rarely,163,37,2,3,9,7,6,7,0
55,Female,5,Sales,Manager,Travel Rarely,1117,83,18,4,10,9,7,7,0
41,Male,2,Sales,Sales Executive,Non-Travel,267,56,10,3,14,3,1,10,0
35,Male,3,Sales,Sales Executive,Travel Rarely,619,85,1,3,11,9,6,9,0
40,Female,3,Research & Development,Manufacturing Director,Travel Rarely,302,75,6,3,20,6,5,13,0
39,Female,1,Research & Development,Laboratory Technician,Travel Frequently,443,48,8,3,8,3,0,7,0
31,Male,1,Sales,Sales Executive,Travel Rarely,828,77,2,3,6,5,0,5,0
42,Male,3,Research & Development,Manufacturing Director,Travel Rarely,319,56,24,4,10,9,5,8,0
45,Male,3,Sales,Sales Executive,Travel Rarely,561,61,2,3,8,7,3,7,0
26,Female,4,Human Resources,Human Resources,Travel Frequently,426,58,17,3,7,7,1,0,1
29,Male,3,Research & Development,Manufacturing Director,Travel Rarely,232,34,19,3,3,2,1,2,0
33,Female,5,Research & Development,Research Director,Travel Rarely,922,95,1,3,6,1,0,5,0
31,Male,3,Sales,Manager,Travel Rarely,688,44,7,4,5,4,0,1,0
18,Male,3,Sales,Sales Representative,Travel Frequently,1306,69,5,3,0,0,0,0,1
40,Male,3,Sales,Sales Executive,Non-Travel,1094,58,28,3,1,0,0,1,0
41,Female,4,Research & Development,Healthcare Representative,Non-Travel,509,62,2,3,8,7,0,7,0
26,Male,2,Sales,Sales Executive,Travel Rarely,775,45,29,3,0,0,0,0,0
35,Female,3,Sales,Sales Executive,Travel Rarely,195,80,1,3,5,4,0,3,0
34,Male,4,Sales,Sales Executive,Travel Rarely,258,74,21,3,10,7,5,7,0
26,Male,3,Research & Development,Laboratory Technician,Travel Rarely,471,66,24,3,1,0,0,0,1
37,Female,3,Research & Development,Manufacturing Director,Travel Rarely,799,59,1,3,6,5,1,2,0
46,Female,1,Research & Development,Healthcare Representative,Travel Frequently,1034,86,18,3,2,2,1,2,0
41,Female,5,Sales,Manager,Travel Rarely,1276,91,2,3,18,16,11,8,0
37,Male,4,Sales,Sales Executive,Non-Travel,142,69,9,3,9,5,7,7,0
52,Male,2,Research & Development,Research Scientist,Travel Rarely,956,78,6,3,10,9,6,9,0
32,Male,4,Sales,Sales Executive,Non-Travel,1474,60,11,3,4,2,1,2,1
24,Male,3,Sales,Sales Representative,Travel Frequently,535,38,24,3,2,2,2,1,0
38,Female,3,Research & Development,Healthcare Representative,Travel Rarely,1495,76,10,3,1,0,0,0,0
37,Female,4,Research & Development,Manufacturing Director,Travel Rarely,446,65,1,3,6,5,4,3,0
49,Male,4,Research & Development,Research Director,Travel Rarely,1245,58,18,3,31,9,0,9,0
24,Male,3,Research & Development,Research Scientist,Travel Rarely,691,89,23,3,6,5,1,4,0
26,Male,2,Sales,Sales Executive,Travel Rarely,703,66,28,4,5,3,1,4,0
24,Male,2,Research & Development,Laboratory Technician,Travel Rarely,823,94,17,4,1,0,0,0,0
50,Male,3,Human Resources,Manager,Travel Frequently,1246,99,3,3,32,5,10,7,0
25,Male,1,Sales,Sales Representative,Travel Rarely,622,40,13,3,7,4,0,6,0
24,Female,3,Research & Development,Laboratory Technician,Travel Frequently,1287,55,7,3,6,3,1,2,1
30,Male,4,Sales,Sales Representative,Travel Frequently,448,74,12,3,1,0,0,0,1
34,Male,2,Research & Development,Research Scientist,Travel Rarely,254,83,1,3,6,5,1,3,0
31,Male,4,Sales,Sales Executive,Travel Rarely,1365,46,13,3,3,1,1,2,1
35,Male,2,Research & Development,Laboratory Technician,Travel Rarely,538,54,25,3,3,2,0,2,0
31,Male,4,Sales,Sales Executive,Travel Rarely,525,66,6,4,7,7,5,7,0
27,Female,4,Research & Development,Research Scientist,Travel Rarely,798,66,6,3,5,3,0,3,0
37,Male,3,Sales,Sales Executive,Travel Rarely,558,75,2,3,3,0,1,0,0
20,Female,3,Research & Development,Research Scientist,Travel Rarely,959,83,1,3,1,0,0,0,0
42,Female,4,Research & Development,Healthcare Representative,Travel Rarely,622,81,2,3,10,2,2,2,0
43,Male,4,Research & Development,Research Director,Travel Rarely,782,50,6,3,1,0,0,0,0
38,Female,1,Research & Development,Research Scientist,Travel Rarely,362,43,1,3,0,0,0,0,0
43,Male,5,Research & Development,Laboratory Technician,Travel Frequently,1001,72,9,3,8,7,4,7,0
48,Female,4,Research & Development,Manager,Travel Rarely,1236,40,1,3,3,2,0,2,0
44,Female,4,Human Resources,Human Resources,Travel Rarely,1112,50,1,3,2,2,0,2,0
34,Female,3,Sales,Sales Representative,Travel Rarely,204,31,14,3,8,2,0,6,0
27,Male,1,Sales,Sales Representative,Travel Rarely,1420,85,2,3,4,3,0,2,1
21,Male,1,Sales,Sales Representative,Travel Rarely,1343,49,22,3,3,2,1,2,0
44,Male,4,Research & Development,Manager,Travel Rarely,1315,35,3,3,2,2,0,1,0
22,Male,1,Research & Development,Research Scientist,Travel Rarely,604,69,6,4,2,2,2,2,0
33,Male,4,Sales,Sales Executive,Travel Rarely,1216,39,8,3,5,0,1,2,0
32,Female,4,Research & Development,Research Scientist,Travel Rarely,646,92,9,3,6,4,0,5,0
30,Female,3,Research & Development,Research Scientist,Travel Frequently,160,71,3,4,1,0,0,0,0
53,Female,1,Sales,Sales Executive,Travel Rarely,238,34,1,4,14,7,8,10,0
34,Male,5,Research & Development,Research Scientist,Travel Rarely,1397,42,1,3,10,9,8,8,0
45,Female,4,Sales,Sales Executive,Travel Frequently,306,100,26,3,1,1,0,0,1
26,Female,3,Research & Development,Laboratory Technician,Travel Rarely,991,71,6,3,3,2,0,2,0
37,Male,3,Research & Development,Manufacturing Director,Travel Rarely,482,36,3,3,10,7,7,8,0
29,Female,2,Sales,Sales Executive,Travel Rarely,1176,62,3,3,6,0,1,2,0
35,Male,4,Research & Development,Research Scientist,Travel Rarely,1017,82,6,3,17,11,11,8,0
33,Male,3,Research & Development,Healthcare Representative,Travel Frequently,1296,30,6,4,13,11,4,7,0
54,Male,4,Human Resources,Human Resources,Travel Rarely,397,88,19,3,9,7,7,1,0
36,Male,2,Research & Development,Manufacturing Director,Travel Rarely,913,48,9,3,3,2,0,2,0
27,Male,4,Research & Development,Research Scientist,Travel Rarely,1115,54,3,3,4,2,1,1,0
20,Male,1,Research & Development,Research Scientist,Travel Rarely,1362,32,10,3,1,0,1,1,1
33,Male,3,Research & Development,Research Scientist,Travel Frequently,1076,70,3,3,10,8,9,7,1
35,Male,3,Research & Development,Laboratory Technician,Non-Travel,727,41,3,3,1,0,0,0,0
23,Male,3,Research & Development,Research Scientist,Travel Rarely,885,58,4,3,3,2,0,2,0
25,Male,3,Sales,Sales Executive,Travel Rarely,810,57,8,4,3,2,1,2,0
38,Female,4,Sales,Sales Executive,Travel Rarely,243,46,7,4,7,7,0,5,0
29,Male,4,Research & Development,Research Scientist,Travel Frequently,806,76,1,3,10,7,2,8,0
48,Male,1,Sales,Sales Executive,Travel Rarely,817,56,2,3,2,2,2,2,0
27,Female,1,Sales,Sales Executive,Travel Frequently,1410,71,3,4,6,5,0,4,0
37,Male,2,Research & Development,Research Scientist,Travel Rarely,1225,80,10,3,1,0,0,0,0
50,Male,1,Research & Development,Laboratory Technician,Travel Rarely,1207,74,28,3,20,8,3,8,0
34,Female,3,Research & Development,Healthcare Representative,Travel Rarely,1442,46,9,3,8,7,7,7,0
24,Female,2,Sales,Sales Executive,Travel Rarely,693,65,3,3,2,2,2,0,1
39,Female,4,Research & Development,Healthcare Representative,Travel Rarely,408,80,2,3,20,7,11,10,0
32,Male,3,Sales,Sales Executive,Travel Rarely,929,55,10,3,10,7,0,8,0
50,Male,2,Sales,Sales Executive,Travel Frequently,562,50,8,3,4,3,1,3,1
38,Female,4,Research & Development,Healthcare Representative,Travel Rarely,827,33,1,3,9,7,1,8,0
27,Female,2,Research & Development,Manufacturing Director,Travel Rarely,608,68,1,3,9,7,0,7,0
32,Female,2,Research & Development,Research Director,Travel Rarely,1018,39,3,3,7,7,7,7,0
47,Male,4,Sales,Sales Executive,Travel Rarely,703,42,14,3,7,7,1,7,0
40,Male,4,Sales,Sales Executive,Travel Frequently,580,48,5,4,18,13,1,12,0
53,Male,3,Research & Development,Research Director,Travel Rarely,970,59,7,3,5,1,1,3,0
41,Male,4,Human Resources,Manager,Travel Rarely,427,73,10,3,21,6,12,6,0
60,Male,4,Sales,Sales Executive,Travel Rarely,1179,84,16,3,2,2,2,2,0
27,Male,2,Research & Development,Manufacturing Director,Travel Frequently,294,32,10,4,9,7,1,7,0
41,Male,3,Human Resources,Manager,Travel Rarely,314,59,1,3,22,7,2,10,0
50,Male,4,Sales,Sales Representative,Travel Rarely,316,54,8,3,2,2,2,2,0
28,Female,2,Research & Development,Research Scientist,Travel Rarely,654,67,1,3,7,7,3,7,1
36,Female,3,Research & Development,Research Director,Non-Travel,427,63,8,3,8,7,0,5,0
38,Female,3,Research & Development,Manufacturing Director,Travel Rarely,168,81,1,3,1,0,0,0,0
44,Male,3,Research & Development,Laboratory Technician,Non-Travel,381,49,24,3,5,2,1,4,0
47,Female,3,Sales,Sales Executive,Travel Frequently,217,49,3,3,22,2,11,13,0
30,Male,5,Sales,Sales Executive,Travel Rarely,501,99,27,4,8,7,7,7,0
29,Male,3,Sales,Sales Representative,Travel Rarely,1396,99,10,3,1,0,0,0,0
42,Male,3,Research & Development,Research Scientist,Travel Frequently,933,57,19,3,2,2,2,2,1
43,Male,3,Sales,Sales Executive,Travel Frequently,775,47,15,3,2,2,2,2,0
34,Female,2,Research & Development,Healthcare Representative,Travel Rarely,970,96,8,3,5,1,4,3,0
23,Male,1,Research & Development,Laboratory Technician,Travel Rarely,650,37,9,3,4,3,0,2,0
39,Female,3,Human Resources,Human Resources,Travel Rarely,141,44,3,3,8,3,3,6,0
56,Male,3,Research & Development,Healthcare Representative,Travel Rarely,832,81,9,3,10,7,1,1,0
40,Female,1,Research & Development,Research Scientist,Travel Rarely,804,86,2,4,4,2,2,3,0
27,Female,3,Research & Development,Healthcare Representative,Travel Rarely,975,55,7,3,7,6,0,7,0
29,Male,3,Sales,Sales Representative,Travel Rarely,1090,83,10,3,2,2,2,2,0
53,Male,3,Research & Development,Laboratory Technician,Travel Rarely,346,86,6,3,2,2,2,2,0
35,Female,4,Research & Development,Healthcare Representative,Non-Travel,1225,61,2,3,1,0,0,0,0
32,Male,4,Research & Development,Laboratory Technician,Travel Frequently,430,80,24,3,10,8,4,7,0
38,Male,5,Research & Development,Research Scientist,Travel Rarely,268,92,2,3,1,0,0,1,0
34,Female,5,Research & Development,Manufacturing Director,Travel Rarely,167,32,8,3,0,0,0,0,0
52,Male,4,Sales,Manager,Travel Rarely,621,31,3,3,34,6,1,16,0
33,Male,4,Research & Development,Research Scientist,Travel Rarely,527,63,1,3,10,9,7,8,1
25,Female,1,Sales,Sales Executive,Travel Rarely,883,32,26,4,6,5,1,4,0
45,Male,2,Sales,Sales Representative,Travel Rarely,954,46,2,3,8,7,3,1,0
23,Male,1,Research & Development,Research Scientist,Travel Rarely,310,79,10,3,2,2,0,2,0
47,Female,2,Sales,Sales Executive,Travel Frequently,719,77,27,3,5,4,1,3,1
34,Male,3,Sales,Sales Executive,Travel Rarely,304,60,2,4,6,5,1,4,0
55,Male,3,Research & Development,Manager,Travel Rarely,725,78,2,3,5,2,1,4,1
36,Male,4,Sales,Sales Executive,Non-Travel,1434,76,8,3,10,7,0,9,0
52,Male,4,Research & Development,Research Scientist,Non-Travel,715,41,19,3,4,3,1,2,0
26,Female,2,Research & Development,Laboratory Technician,Travel Frequently,575,71,1,3,2,2,2,0,0
29,Female,3,Research & Development,Healthcare Representative,Travel Rarely,657,66,27,3,8,7,1,1,0
26,Male,3,Sales,Sales Executive,Travel Rarely,1146,38,8,3,4,3,1,2,1
34,Female,4,Research & Development,Research Scientist,Travel Rarely,182,72,1,3,4,2,1,3,0
54,Female,4,Research & Development,Manufacturing Director,Travel Rarely,376,95,19,3,5,3,1,4,0
27,Male,1,Sales,Sales Executive,Travel Frequently,829,84,8,3,4,2,1,1,0
37,Female,1,Research & Development,Research Scientist,Travel Rarely,571,82,10,3,5,3,4,3,0
38,Female,4,Research & Development,Manufacturing Director,Travel Frequently,240,75,2,3,15,7,4,12,0
34,Female,4,Research & Development,Research Scientist,Travel Rarely,121,86,2,3,6,5,1,3,0
35,Female,4,Sales,Sales Representative,Travel Rarely,384,72,8,3,3,2,0,2,0
30,Male,3,Research & Development,Laboratory Technician,Travel Rarely,921,38,1,4,2,2,0,2,0
40,Female,2,Research & Development,Healthcare Representative,Travel Frequently,791,38,2,4,8,7,3,7,0
34,Female,2,Sales,Sales Executive,Travel Rarely,1111,93,8,3,3,2,1,2,0
42,Male,3,Research & Development,Manager,Travel Frequently,570,66,8,3,24,7,14,9,0
23,Male,3,Research & Development,Laboratory Technician,Travel Rarely,1243,63,6,4,0,0,0,0,1
24,Male,3,Research & Development,Laboratory Technician,Non-Travel,1092,60,9,3,1,0,0,0,0
52,Female,4,Research & Development,Laboratory Technician,Travel Rarely,1325,82,11,4,5,2,1,4,0
50,Male,3,Research & Development,Research Director,Travel Rarely,691,64,2,3,4,3,0,3,0
29,Female,2,Research & Development,Laboratory Technician,Travel Rarely,805,36,1,3,1,0,0,0,1
33,Male,3,Research & Development,Research Director,Travel Rarely,213,49,7,3,13,9,3,7,0
33,Female,3,Sales,Sales Executive,Travel Rarely,118,69,16,3,3,2,0,2,1
47,Female,2,Research & Development,Manager,Travel Rarely,202,33,2,3,26,14,3,0,0
36,Female,3,Research & Development,Manufacturing Director,Travel Rarely,676,35,1,3,9,7,0,5,0
29,Male,2,Research & Development,Research Scientist,Travel Rarely,1252,81,23,4,10,7,0,7,0
58,Male,4,Research & Development,Research Director,Travel Rarely,286,31,2,3,31,15,13,8,1
35,Female,4,Research & Development,Research Scientist,Travel Rarely,1258,40,1,3,2,2,2,2,0
42,Female,2,Research & Development,Manufacturing Director,Travel Rarely,932,43,1,3,4,3,0,2,0
28,Male,4,Research & Development,Research Scientist,Travel Rarely,890,46,2,3,2,2,2,1,1
36,Male,3,Human Resources,Human Resources,Travel Rarely,1041,36,13,3,5,2,0,4,0
32,Female,3,Research & Development,Manufacturing Director,Travel Rarely,859,98,4,3,14,13,6,8,0
40,Male,4,Research & Development,Laboratory Technician,Travel Frequently,720,51,16,3,1,0,0,0,0
